group,family,channel,sigma_psf_screen_px,d_rec_screen_px,symRes,sub_screen_px,symCellPx_screen_px,colCellPx_screen_px,colorBits,colorFmt,calibMode,denseN,winFrac,pilotSide_screen_px,frames,bitsPerCell,cellErrRate,bitErrRate,rsBlockFail,fileSuccess,meets,calibOverhead,netThroughput_bit_per_screenpx2,effectiveRate_MBps
A,符号型,native,0.520316,3,4×4,1,4,,0,无颜色维度（单色底）,四角,0,1,,1,4,0.17333333333333334,0.17333333333333334,1,0,false,0,0.25,1.944
A,符号型,native,0.520316,3,4×4,1,4,,2,2 bit (4色),四角,0,1,,1,6,0.5766666666666667,0.36833333333333335,1,0,false,0,0.375,2.916
A,符号型,native,0.520316,3,4×4,1.5,6,,0,无颜色维度（单色底）,四角,0,1,,1,4,0,0,0,1,true,0,0.1111111111111111,0.8639999999999999
A,符号型,native,0.520316,3,4×4,1.5,6,,2,2 bit (4色),四角,0,1,,1,6,0.4033333333333333,0.23277777777777778,1,0,false,0,0.16666666666666666,1.296
A,符号型,native,0.520316,3,4×4,2,8,,0,无颜色维度（单色底）,四角,0,1,,1,4,0,0,0,1,true,0,0.0625,0.486
A,符号型,native,0.520316,3,4×4,2,8,,2,2 bit (4色),四角,0,1,,1,6,0.32,0.16833333333333333,1,0,false,0,0.09375,0.729
A,符号型,native,0.520316,3,4×4,3,12,,0,无颜色维度（单色底）,四角,0,1,,1,4,0,0,0,1,true,0,0.027777777777777776,0.21599999999999997
A,符号型,native,0.520316,3,4×4,3,12,,2,2 bit (4色),四角,0,1,,1,6,0.25166666666666665,0.11555555555555555,1,0,false,0,0.041666666666666664,0.324
A,符号型,native,0.520316,3,4×4,5,20,,0,无颜色维度（单色底）,四角,0,1,,1,4,0,0,0,1,true,0,0.01,0.07776
A,符号型,native,0.520316,3,4×4,5,20,,2,2 bit (4色),四角,0,1,,1,6,0.175,0.06444444444444444,0.9999999996467149,0,false,0,0.015,0.11663999999999998
A,符号型,native,0.520316,3,4×4,8,32,,0,无颜色维度（单色底）,四角,0,1,,1,4,0,0,0,1,true,0,0.00390625,0.030375
A,符号型,native,0.520316,3,4×4,8,32,,2,2 bit (4色),四角,0,1,,1,6,0.14833333333333334,0.049444444444444444,0.9999998903546934,0,false,0,0.005859375,0.0455625
A,符号型,native,0.520316,3,4×4,13,52,,0,无颜色维度（单色底）,四角,0,1,,1,4,0,0,0,1,true,0,0.0014792899408284023,0.011502958579881655
A,符号型,native,0.520316,3,4×4,13,52,,2,2 bit (4色),四角,0,1,,1,6,0.14666666666666667,0.04888888888888889,0.9999998458688824,0,false,0,0.0022189349112426036,0.017254437869822486
A,符号型,native,0.520316,3,8×8,1,8,,0,无颜色维度（单色底）,四角,0,1,,1,4,0,0,0,1,true,0,0.0625,0.486
A,符号型,native,0.520316,3,8×8,1,8,,2,2 bit (4色),四角,0,1,,1,6,0.325,0.21944444444444444,1,0,false,0,0.09375,0.729
A,符号型,native,0.520316,3,8×8,1.5,12,,0,无颜色维度（单色底）,四角,0,1,,1,4,0,0,0,1,true,0,0.027777777777777776,0.21599999999999997
A,符号型,native,0.520316,3,8×8,1.5,12,,2,2 bit (4色),四角,0,1,,1,6,0.18666666666666668,0.1111111111111111,0.9999999999758121,0,false,0,0.041666666666666664,0.324
A,符号型,native,0.520316,3,8×8,2,16,,0,无颜色维度（单色底）,四角,0,1,,1,4,0,0,0,1,true,0,0.015625,0.1215
A,符号型,native,0.520316,3,8×8,2,16,,2,2 bit (4色),四角,0,1,,1,6,0.10333333333333333,0.056666666666666664,0.9995122225902705,0,false,0,0.0234375,0.18225
