group,family,channel,sigma_psf_screen_px,d_rec_screen_px,colCellPx_screen_px,symRes,sub_screen_px,symCellPx_screen_px,colorBits,colorFmt,calibMode,denseN,winFrac,pilotSide_screen_px,bitsPerCell,samples,cellErrRate,rsBlockFail,fileSuccess,meets,calibOverhead,netThroughput_bit_per_screenpx2,effectiveRate_MBps
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),无,0,0.25,0,1,400,0.52,1,0,false,0,0.1111111111111111,0.8639999999999999
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),无,0,0.3333333333333333,0,1,400,0.52,1,0,false,0,0.1111111111111111,0.8639999999999999
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),无,0,0.5,0,1,400,0.52,1,0,false,0,0.1111111111111111,0.8639999999999999
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),无,0,0.6666666666666666,0,1,400,0.52,1,0,false,0,0.1111111111111111,0.8639999999999999
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),无,0,1,0,1,400,0.52,1,0,false,0,0.1111111111111111,0.8639999999999999
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),四角,0,0.25,3,1,3000,0,0,1,true,0,0.1111111111111111,0.8639999999999999
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),四角,0,0.25,5,1,3000,0,0,1,true,0,0.1111111111111111,0.8639999999999999
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),四角,0,0.25,8,1,3000,0,0,1,true,0,0.1111111111111111,0.8639999999999999
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),四角,0,0.25,13,1,3000,0,0,1,true,0,0.1111111111111111,0.8639999999999999
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),四角,0,0.3333333333333333,3,1,3000,0,0,1,true,0,0.1111111111111111,0.8639999999999999
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),四角,0,0.3333333333333333,5,1,3000,0,0,1,true,0,0.1111111111111111,0.8639999999999999
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),四角,0,0.3333333333333333,8,1,3000,0,0,1,true,0,0.1111111111111111,0.8639999999999999
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),四角,0,0.3333333333333333,13,1,3000,0,0,1,true,0,0.1111111111111111,0.8639999999999999
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),四角,0,0.5,3,1,3000,0,0,1,true,0,0.1111111111111111,0.8639999999999999
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),四角,0,0.5,5,1,3000,0,0,1,true,0,0.1111111111111111,0.8639999999999999
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),四角,0,0.5,8,1,3000,0,0,1,true,0,0.1111111111111111,0.8639999999999999
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),四角,0,0.5,13,1,3000,0,0,1,true,0,0.1111111111111111,0.8639999999999999
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),四角,0,0.6666666666666666,3,1,3000,0,0,1,true,0,0.1111111111111111,0.8639999999999999
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),四角,0,0.6666666666666666,5,1,3000,0,0,1,true,0,0.1111111111111111,0.8639999999999999
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),四角,0,0.6666666666666666,8,1,3000,0,0,1,true,0,0.1111111111111111,0.8639999999999999
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),四角,0,0.6666666666666666,13,1,3000,0,0,1,true,0,0.1111111111111111,0.8639999999999999
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),四角,0,1,3,1,3000,0.011,0.8740932711542928,0,false,0,0.1111111111111111,0.8639999999999999
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),四角,0,1,5,1,3000,0.011333333333333334,0.8980855658783089,0,false,0,0.1111111111111111,0.8639999999999999
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),四角,0,1,8,1,3000,0.011,0.8740932711542928,0,false,0,0.1111111111111111,0.8639999999999999
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),四角,0,1,13,1,3000,0.011666666666666667,0.9180911273695398,0,false,0,0.1111111111111111,0.8639999999999999
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),密集 N=3,3,0.25,3,1,3000,0,0,1,true,0.11145833333333334,0.09872685185185186,0.7677000000000002
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),密集 N=3,3,0.25,5,1,3000,0,0,1,true,0.11145833333333334,0.09872685185185186,0.7677000000000002
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),密集 N=3,3,0.25,8,1,3000,0,0,1,true,0.11145833333333334,0.09872685185185186,0.7677000000000002
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),密集 N=3,3,0.25,13,1,3000,0,0,1,true,0.11145833333333334,0.09872685185185186,0.7677000000000002
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),密集 N=3,3,0.3333333333333333,3,1,3000,0,0,1,true,0.11145833333333334,0.09872685185185186,0.7677000000000002
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),密集 N=3,3,0.3333333333333333,5,1,3000,0,0,1,true,0.11145833333333334,0.09872685185185186,0.7677000000000002
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),密集 N=3,3,0.3333333333333333,8,1,3000,0,0,1,true,0.11145833333333334,0.09872685185185186,0.7677000000000002
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),密集 N=3,3,0.3333333333333333,13,1,3000,0,0,1,true,0.11145833333333334,0.09872685185185186,0.7677000000000002
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),密集 N=3,3,0.5,3,1,3000,0,0,1,true,0.11145833333333334,0.09872685185185186,0.7677000000000002
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),密集 N=3,3,0.5,5,1,3000,0,0,1,true,0.11145833333333334,0.09872685185185186,0.7677000000000002
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),密集 N=3,3,0.5,8,1,3000,0,0,1,true,0.11145833333333334,0.09872685185185186,0.7677000000000002
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),密集 N=3,3,0.5,13,1,3000,0,0,1,true,0.11145833333333334,0.09872685185185186,0.7677000000000002
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),密集 N=3,3,0.6666666666666666,3,1,3000,0,0,1,true,0.11145833333333334,0.09872685185185186,0.7677000000000002
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),密集 N=3,3,0.6666666666666666,5,1,3000,0,0,1,true,0.11145833333333334,0.09872685185185186,0.7677000000000002
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),密集 N=3,3,0.6666666666666666,8,1,3000,0,0,1,true,0.11145833333333334,0.09872685185185186,0.7677000000000002
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),密集 N=3,3,0.6666666666666666,13,1,3000,0,0,1,true,0.11145833333333334,0.09872685185185186,0.7677000000000002
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),密集 N=3,3,1,3,1,3000,0.011,0.8740932711542928,0,false,0.11145833333333334,0.09872685185185186,0.7677000000000002
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),密集 N=3,3,1,5,1,3000,0.011333333333333334,0.8980855658783089,0,false,0.11145833333333334,0.09872685185185186,0.7677000000000002
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),密集 N=3,3,1,8,1,3000,0.011,0.8740932711542928,0,false,0.11145833333333334,0.09872685185185186,0.7677000000000002
P1-1,纯颜色型,native,0.520316,3,3,,,,1,1 bit (2色),密集 N=3,3,1,13,1,3000,0.011666666666666667,0.9180911273695398,0,false,0.11145833333333334,0.09872685185185186,0.7677000000000002
